"subj_id","certain","stimuli","condition"
695659,6,"s_texture","sil"
695659,5,"f_vintage","fluent"
695659,3,"u_tension","um"
695659,5,"s_imagination","sil"
695659,5,"u_elegant","um"
695659,4,"c_liveliness","click"
695659,5,"u_drama","um"
695659,5,"c_texture","click"
695659,5,"u_serene","um"
695659,6,"f_dynamic","fluent"
695659,6,"s_serene","sil"
695659,7,"s_balance","sil"
695659,5,"u_liveliness","um"
695659,7,"s_liveliness","sil"
695659,7,"f_imagination","fluent"
695659,5,"c_vintage","click"
695659,5,"c_balance","click"
695659,5,"c_imagination","click"
695659,6,"s_vintage","sil"
695659,6,"c_tension","click"
695659,4,"c_drama","click"
695659,6,"f_serene","fluent"
695659,7,"f_elegant","fluent"
695659,6,"s_elegant","sil"
695659,6,"s_tension","sil"
695659,6,"s_drama","sil"
695659,4,"u_balance","um"
695659,5,"c_serene","click"
695659,4,"u_texture","um"
695659,6,"f_texture","fluent"
695659,4,"c_elegant","click"
695659,6,"f_liveliness","fluent"
695659,4,"u_vintage","um"
695659,5,"u_imagination","um"
695659,4,"s_dynamic","sil"
695659,4,"c_dynamic","click"
695659,6,"f_tension","fluent"
695659,5,"u_dynamic","um"
695659,7,"f_drama","fluent"
695659,6,"f_balance","fluent"
695660,5,"u_serene","um"
695660,3,"s_dynamic","sil"
695660,1,"f_imagination","fluent"
695660,7,"c_serene","click"
695660,4,"s_serene","sil"
695660,7,"f_serene","fluent"
695660,1,"u_imagination","um"
695660,5,"c_tension","click"
695660,6,"s_texture","sil"
695660,3,"u_balance","um"
695660,5,"s_vintage","sil"
695660,6,"s_balance","sil"
695660,5,"c_texture","click"
695660,3,"c_imagination","click"
695660,2,"c_elegant","click"
695660,7,"f_balance","fluent"
695660,7,"f_vintage","fluent"
695660,3,"u_tension","um"
695660,4,"c_balance","click"
695660,3,"u_vintage","um"
695660,4,"c_drama","click"
695660,7,"f_tension","fluent"
695660,7,"f_dynamic","fluent"
695660,7,"f_texture","fluent"
695660,4,"c_vintage","click"
695660,7,"f_liveliness","fluent"
695660,6,"f_elegant","fluent"
695660,4,"c_dynamic","click"
695660,5,"s_tension","sil"
695660,3,"u_texture","um"
695660,3,"u_dynamic","um"
695660,6,"f_drama","fluent"
695660,2,"u_drama","um"
695660,4,"s_drama","sil"
695660,5,"s_elegant","sil"
695660,4,"c_liveliness","click"
695660,5,"s_liveliness","sil"
695660,5,"s_imagination","sil"
695660,3,"u_elegant","um"
695660,4,"u_liveliness","um"
695661,3,"u_texture","um"
695661,4,"u_imagination","um"
695661,4,"s_imagination","sil"
695661,7,"f_imagination","fluent"
695661,5,"s_elegant","sil"
695661,3,"c_texture","click"
695661,3,"s_vintage","sil"
695661,3,"u_balance","um"
695661,3,"c_serene","click"
695661,7,"f_liveliness","fluent"
695661,4,"u_drama","um"
695661,3,"u_serene","um"
695661,4,"s_dynamic","sil"
695661,3,"c_tension","click"
695661,4,"s_texture","sil"
695661,5,"s_liveliness","sil"
695661,4,"c_liveliness","click"
695661,7,"f_elegant","fluent"
695661,3,"c_balance","click"
695661,7,"f_dynamic","fluent"
695661,3,"u_vintage","um"
695661,5,"s_drama","sil"
695661,7,"f_serene","fluent"
695661,4,"c_vintage","click"
695661,7,"f_texture","fluent"
695661,5,"u_dynamic","um"
695661,4,"c_drama","click"
695661,3,"c_elegant","click"
695661,3,"u_tension","um"
695661,4,"s_balance","sil"
695661,4,"s_serene","sil"
695661,5,"f_tension","fluent"
695661,4,"u_liveliness","um"
695661,4,"s_tension","sil"
695661,4,"f_drama","fluent"
695661,5,"u_elegant","um"
695661,7,"f_balance","fluent"
695661,4,"c_dynamic","click"
695661,5,"c_imagination","click"
695661,6,"f_vintage","fluent"
695666,2,"c_serene","click"
695666,5,"s_liveliness","sil"
695666,3,"u_balance","um"
695666,5,"u_dynamic","um"
695666,4,"c_tension","click"
695666,5,"c_balance","click"
695666,5,"u_elegant","um"
695666,2,"c_elegant","click"
695666,6,"f_dynamic","fluent"
695666,4,"s_tension","sil"
695666,6,"s_vintage","sil"
695666,4,"c_drama","click"
695666,6,"f_vintage","fluent"
695666,4,"u_texture","um"
695666,5,"f_serene","fluent"
695666,4,"s_balance","sil"
695666,5,"f_imagination","fluent"
695666,7,"f_texture","fluent"
695666,6,"u_serene","um"
695666,5,"c_liveliness","click"
695666,4,"u_tension","um"
695666,4,"s_texture","sil"
695666,3,"c_imagination","click"
695666,5,"s_drama","sil"
695666,4,"u_drama","um"
695666,3,"s_imagination","sil"
695666,5,"c_texture","click"
695666,4,"s_dynamic","sil"
695666,5,"c_vintage","click"
695666,6,"f_balance","fluent"
695666,7,"f_drama","fluent"
695666,7,"f_liveliness","fluent"
695666,6,"f_elegant","fluent"
695666,7,"f_tension","fluent"
695666,4,"c_dynamic","click"
695666,4,"s_elegant","sil"
695666,3,"u_imagination","um"
695666,3,"u_vintage","um"
695666,4,"s_serene","sil"
695666,5,"u_liveliness","um"
695662,5,"c_tension","click"
695662,5,"s_vintage","sil"
695662,6,"f_liveliness","fluent"
695662,6,"f_serene","fluent"
695662,5,"c_serene","click"
695662,5,"u_vintage","um"
695662,5,"u_texture","um"
695662,5,"c_liveliness","click"
695662,6,"s_balance","sil"
695662,7,"f_tension","fluent"
695662,7,"f_imagination","fluent"
695662,6,"s_tension","sil"
695662,5,"c_balance","click"
695662,5,"u_serene","um"
695662,7,"f_drama","fluent"
695662,5,"u_balance","um"
695662,7,"f_vintage","fluent"
695662,7,"f_dynamic","fluent"
695662,6,"c_texture","click"
695662,6,"c_imagination","click"
695662,5,"u_elegant","um"
695662,5,"u_dynamic","um"
695662,5,"c_vintage","click"
695662,5,"c_dynamic","click"
695662,5,"s_dynamic","sil"
695662,5,"u_drama","um"
695662,7,"f_balance","fluent"
695662,6,"c_elegant","click"
695662,6,"s_drama","sil"
695662,5,"u_tension","um"
695662,7,"s_liveliness","sil"
695662,6,"u_imagination","um"
695662,5,"s_elegant","sil"
695662,6,"c_drama","click"
695662,5,"s_texture","sil"
695662,6,"s_imagination","sil"
695662,6,"u_liveliness","um"
695662,7,"f_texture","fluent"
695662,5,"s_serene","sil"
695662,7,"f_elegant","fluent"
695727,6,"f_liveliness","fluent"
695727,6,"s_drama","sil"
695727,5,"s_tension","sil"
695727,6,"f_texture","fluent"
695727,5,"c_texture","click"
695727,6,"f_drama","fluent"
695727,4,"s_imagination","sil"
695727,7,"f_vintage","fluent"
695727,4,"c_imagination","click"
695727,4,"c_liveliness","click"
695727,5,"s_balance","sil"
695727,4,"s_serene","sil"
695727,3,"s_dynamic","sil"
695727,4,"u_tension","um"
695727,4,"u_liveliness","um"
695727,4,"c_dynamic","click"
695727,6,"f_balance","fluent"
695727,4,"u_balance","um"
695727,4,"c_elegant","click"
695727,5,"s_vintage","sil"
695727,4,"c_vintage","click"
695727,5,"f_tension","fluent"
695727,5,"u_texture","um"
695727,6,"u_serene","um"
695727,4,"u_elegant","um"
695727,5,"u_dynamic","um"
695727,7,"f_serene","fluent"
695727,7,"f_elegant","fluent"
695727,6,"s_elegant","sil"
695727,5,"u_drama","um"
695727,4,"c_serene","click"
695727,5,"s_texture","sil"
695727,4,"c_tension","click"
695727,6,"f_imagination","fluent"
695727,5,"s_liveliness","sil"
695727,5,"u_imagination","um"
695727,4,"c_balance","click"
695727,7,"f_dynamic","fluent"
695727,5,"u_vintage","um"
695727,5,"c_drama","click"
695728,6,"c_serene","click"
695728,6,"c_imagination","click"
695728,6,"u_vintage","um"
695728,6,"u_texture","um"
695728,6,"s_drama","sil"
695728,5,"u_balance","um"
695728,6,"s_vintage","sil"
695728,7,"f_drama","fluent"
695728,7,"u_imagination","um"
695728,7,"s_texture","sil"
695728,5,"c_elegant","click"
695728,6,"c_liveliness","click"
695728,7,"f_texture","fluent"
695728,6,"c_vintage","click"
695728,6,"s_serene","sil"
695728,7,"f_tension","fluent"
695728,6,"u_serene","um"
695728,6,"u_tension","um"
695728,6,"c_texture","click"
695728,7,"f_serene","fluent"
695728,6,"u_elegant","um"
695728,6,"s_liveliness","sil"
695728,7,"f_elegant","fluent"
695728,6,"s_balance","sil"
695728,6,"s_imagination","sil"
695728,7,"f_imagination","fluent"
695728,6,"c_tension","click"
695728,7,"f_liveliness","fluent"
695728,6,"u_drama","um"
695728,7,"s_tension","sil"
695728,6,"c_drama","click"
695728,7,"s_elegant","sil"
695728,6,"f_dynamic","fluent"
695728,6,"u_dynamic","um"
695728,7,"f_balance","fluent"
695728,7,"u_liveliness","um"
695728,6,"s_dynamic","sil"
695728,6,"c_dynamic","click"
695728,7,"f_vintage","fluent"
695728,6,"c_balance","click"
695730,3,"c_drama","click"
695730,3,"s_serene","sil"
695730,5,"s_vintage","sil"
695730,6,"f_liveliness","fluent"
695730,4,"u_elegant","um"
695730,5,"u_serene","um"
695730,4,"c_tension","click"
695730,5,"c_serene","click"
695730,3,"u_liveliness","um"
695730,4,"u_texture","um"
695730,5,"s_drama","sil"
695730,4,"u_dynamic","um"
695730,7,"f_texture","fluent"
695730,3,"c_elegant","click"
695730,5,"u_imagination","um"
695730,3,"c_dynamic","click"
695730,6,"s_liveliness","sil"
695730,7,"f_serene","fluent"
695730,7,"f_drama","fluent"
695730,4,"c_vintage","click"
695730,3,"u_vintage","um"
695730,5,"c_texture","click"
695730,5,"s_dynamic","sil"
695730,5,"s_elegant","sil"
695730,7,"f_tension","fluent"
695730,6,"s_imagination","sil"
695730,5,"s_texture","sil"
695730,6,"f_elegant","fluent"
695730,7,"f_balance","fluent"
695730,5,"u_tension","um"
695730,3,"c_liveliness","click"
695730,3,"c_balance","click"
695730,5,"u_drama","um"
695730,5,"s_balance","sil"
695730,5,"f_dynamic","fluent"
695730,3,"c_imagination","click"
695730,3,"s_tension","sil"
695730,6,"u_balance","um"
695730,7,"f_imagination","fluent"
695730,5,"f_vintage","fluent"
695731,5,"u_elegant","um"
695731,4,"c_imagination","click"
695731,5,"s_serene","sil"
695731,7,"f_drama","fluent"
695731,6,"s_imagination","sil"
695731,7,"f_elegant","fluent"
695731,5,"c_balance","click"
695731,5,"u_serene","um"
695731,5,"s_elegant","sil"
695731,4,"u_texture","um"
695731,7,"f_dynamic","fluent"
695731,4,"c_liveliness","click"
695731,5,"u_imagination","um"
695731,4,"u_balance","um"
695731,7,"f_balance","fluent"
695731,3,"c_drama","click"
695731,6,"s_texture","sil"
695731,4,"c_serene","click"
695731,6,"s_vintage","sil"
695731,4,"c_vintage","click"
695731,4,"c_dynamic","click"
695731,7,"f_serene","fluent"
695731,7,"f_imagination","fluent"
695731,3,"u_tension","um"
695731,4,"s_dynamic","sil"
695731,7,"f_texture","fluent"
695731,4,"u_drama","um"
695731,5,"u_liveliness","um"
695731,5,"s_liveliness","sil"
695731,4,"s_tension","sil"
695731,7,"f_liveliness","fluent"
695731,5,"c_texture","click"
695731,7,"f_vintage","fluent"
695731,5,"u_dynamic","um"
695731,5,"s_balance","sil"
695731,4,"u_vintage","um"
695731,6,"s_drama","sil"
695731,3,"c_elegant","click"
695731,3,"c_tension","click"
695731,7,"f_tension","fluent"
695732,3,"f_liveliness","fluent"
695732,2,"u_imagination","um"
695732,3,"f_balance","fluent"
695732,3,"c_imagination","click"
695732,4,"u_liveliness","um"
695732,4,"s_imagination","sil"
695732,3,"u_serene","um"
695732,4,"s_drama","sil"
695732,4,"c_serene","click"
695732,4,"u_elegant","um"
695732,4,"u_drama","um"
695732,4,"c_elegant","click"
695732,3,"u_tension","um"
695732,4,"s_texture","sil"
695732,5,"f_tension","fluent"
695732,5,"f_serene","fluent"
695732,5,"f_dynamic","fluent"
695732,4,"u_dynamic","um"
695732,4,"s_elegant","sil"
695732,4,"s_balance","sil"
695732,4,"c_texture","click"
695732,4,"c_liveliness","click"
695732,5,"f_imagination","fluent"
695732,4,"u_vintage","um"
695732,4,"c_drama","click"
695732,4,"f_vintage","fluent"
695732,5,"f_drama","fluent"
695732,5,"u_texture","um"
695732,5,"c_vintage","click"
695732,4,"s_tension","sil"
695732,4,"s_dynamic","sil"
695732,5,"s_vintage","sil"
695732,6,"s_liveliness","sil"
695732,6,"f_texture","fluent"
695732,5,"c_balance","click"
695732,5,"u_balance","um"
695732,6,"f_elegant","fluent"
695732,3,"s_serene","sil"
695732,4,"c_tension","click"
695732,5,"c_dynamic","click"
695733,4,"s_tension","sil"
695733,5,"f_vintage","fluent"
695733,3,"s_vintage","sil"
695733,4,"u_dynamic","um"
695733,7,"f_liveliness","fluent"
695733,7,"f_tension","fluent"
695733,3,"u_texture","um"
695733,3,"u_liveliness","um"
695733,2,"s_dynamic","sil"
695733,1,"c_drama","click"
695733,2,"c_liveliness","click"
695733,6,"f_elegant","fluent"
695733,3,"u_elegant","um"
695733,6,"f_texture","fluent"
695733,4,"s_texture","sil"
695733,3,"s_elegant","sil"
695733,7,"f_balance","fluent"
695733,7,"f_serene","fluent"
695733,4,"c_serene","click"
695733,6,"f_imagination","fluent"
695733,6,"s_liveliness","sil"
695733,2,"c_tension","click"
695733,3,"c_imagination","click"
695733,1,"s_balance","sil"
695733,2,"u_balance","um"
695733,3,"c_texture","click"
695733,1,"s_serene","sil"
695733,5,"s_drama","sil"
695733,4,"s_imagination","sil"
695733,5,"f_dynamic","fluent"
695733,3,"c_balance","click"
695733,6,"f_drama","fluent"
695733,2,"u_drama","um"
695733,2,"u_tension","um"
695733,3,"c_vintage","click"
695733,4,"u_serene","um"
695733,4,"u_imagination","um"
695733,4,"c_dynamic","click"
695733,3,"u_vintage","um"
695733,3,"c_elegant","click"
695734,4,"c_tension","click"
695734,5,"f_balance","fluent"
695734,3,"s_vintage","sil"
695734,3,"s_serene","sil"
695734,3,"u_tension","um"
695734,4,"s_elegant","sil"
695734,3,"c_drama","click"
695734,3,"s_tension","sil"
695734,6,"f_imagination","fluent"
695734,4,"c_balance","click"
695734,5,"f_liveliness","fluent"
695734,5,"c_imagination","click"
695734,4,"u_dynamic","um"
695734,5,"f_vintage","fluent"
695734,5,"u_liveliness","um"
695734,6,"f_texture","fluent"
695734,5,"s_texture","sil"
695734,6,"f_elegant","fluent"
695734,4,"c_liveliness","click"
695734,5,"s_imagination","sil"
695734,4,"u_texture","um"
695734,4,"c_dynamic","click"
695734,5,"c_texture","click"
695734,5,"u_imagination","um"
695734,6,"f_drama","fluent"
695734,7,"f_serene","fluent"
695734,4,"s_dynamic","sil"
695734,3,"c_vintage","click"
695734,6,"f_tension","fluent"
695734,5,"u_serene","um"
695734,4,"c_elegant","click"
695734,4,"u_vintage","um"
695734,5,"s_liveliness","sil"
695734,4,"c_serene","click"
695734,5,"s_balance","sil"
695734,4,"u_balance","um"
695734,5,"u_elegant","um"
695734,4,"f_dynamic","fluent"
695734,4,"s_drama","sil"
695734,5,"u_drama","um"
695736,6,"s_liveliness","sil"
695736,5,"u_elegant","um"
695736,4,"c_serene","click"
695736,2,"c_elegant","click"
695736,4,"u_liveliness","um"
695736,7,"f_serene","fluent"
695736,7,"f_liveliness","fluent"
695736,4,"s_dynamic","sil"
695736,3,"s_tension","sil"
695736,4,"c_imagination","click"
695736,2,"s_elegant","sil"
695736,6,"s_vintage","sil"
695736,3,"u_balance","um"
695736,3,"u_texture","um"
695736,1,"c_tension","click"
695736,6,"s_texture","sil"
695736,7,"f_vintage","fluent"
695736,5,"u_dynamic","um"
695736,5,"f_drama","fluent"
695736,6,"f_dynamic","fluent"
