"file","segment","start","end","dur","filedur","mean_intensity","condition","proto_file"
"NAT_engl310_01_234","in",0,0.203,0.203,10.46,55.19,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",0.203,0.248,0.045,10.46,46.028,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",0.535,0.583,0.048,10.46,58.094,"natural","engl310_01_234"
"NAT_engl310_01_234","in",0.583,0.779,0.195,10.46,55.631,"natural","engl310_01_234"
"NAT_engl310_01_234","o",0.779,0.887,0.108,10.46,55.357,"natural","engl310_01_234"
"NAT_engl310_01_234","uh",0.887,1.144,0.257,10.46,85.581,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",1.144,1.174,0.03,10.46,55.538,"natural","engl310_01_234"
"NAT_engl310_01_234","in",1.174,1.3,0.126,10.46,55.89,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",1.3,1.352,0.051,10.46,47.418,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",2.525,2.705,0.18,10.46,47.848,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",4.056,4.323,0.266,10.46,45.299,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",4.973,5.034,0.061,10.46,54.362,"natural","engl310_01_234"
"NAT_engl310_01_234","in",5.034,5.236,0.202,10.46,59.345,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",5.236,5.262,0.026,10.46,54.079,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",7.112,7.183,0.071,10.46,44.742,"natural","engl310_01_234"
"NAT_engl310_01_234","in",7.183,7.447,0.264,10.46,58.421,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",7.447,7.478,0.031,10.46,51.913,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",10.219,10.229,0.01,10.46,55.108,"natural","engl310_01_234"
"NAT_engl310_01_234","in",10.229,10.457,0.229,10.46,55.435,"natural","engl310_01_234"
"NAT_engl310_01_234","sil",10.457,10.46,0.003,10.46,49.372,"natural","engl310_01_234"
"NAT_engl310_01_236","cl",0,0.003,0.003,8.47,49.214,"natural","engl310_01_236"
"NAT_engl310_01_236","in",0.003,0.455,0.452,8.47,59.044,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",0.455,0.519,0.065,8.47,48.003,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",2.739,2.786,0.047,8.47,57.363,"natural","engl310_01_236"
"NAT_engl310_01_236","in",2.786,2.978,0.193,8.47,54.56,"natural","engl310_01_236"
"NAT_engl310_01_236","o",2.978,3.057,0.079,8.47,60.833,"natural","engl310_01_236"
"NAT_engl310_01_236","uh",3.057,3.259,0.202,8.47,85.14,"natural","engl310_01_236"
"NAT_engl310_01_236","in",3.864,4.036,0.172,8.47,52.266,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",4.036,4.126,0.09,8.47,45.25,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",4.824,4.883,0.06,8.47,55.603,"natural","engl310_01_236"
"NAT_engl310_01_236","in",4.883,5.089,0.205,8.47,50.836,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",5.089,5.12,0.031,8.47,51.384,"natural","engl310_01_236"
"NAT_engl310_01_236","o",5.12,5.19,0.07,8.47,61.313,"natural","engl310_01_236"
"NAT_engl310_01_236","uh",5.19,5.44,0.25,8.47,79.514,"natural","engl310_01_236"
"NAT_engl310_01_236","in",5.44,5.638,0.199,8.47,48.83,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",5.638,5.716,0.078,8.47,42.769,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",6.43,6.831,0.401,8.47,48.372,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",7.682,8.214,0.532,8.47,49.176,"natural","engl310_01_236"
"NAT_engl310_01_236","cl",8.214,8.315,0.1,8.47,64.675,"natural","engl310_01_236"
"NAT_engl310_01_236","in",8.315,8.466,0.151,8.47,62.902,"natural","engl310_01_236"
"NAT_engl310_01_236","sil",8.466,8.47,0.004,8.47,53.277,"natural","engl310_01_236"
"NAT_engl310_01_248","in",0,0.253,0.253,10.29,58.795,"natural","engl310_01_248"
"NAT_engl310_01_248","sil",0.253,0.302,0.049,10.29,49.636,"natural","engl310_01_248"
"NAT_engl310_01_248","sil",3.152,3.201,0.048,10.29,55.829,"natural","engl310_01_248"
"NAT_engl310_01_248","in",3.201,3.525,0.324,10.29,55.778,"natural","engl310_01_248"
"NAT_engl310_01_248","o",3.525,3.645,0.12,10.29,62.478,"natural","engl310_01_248"
"NAT_engl310_01_248","uh",3.645,3.978,0.333,10.29,82.906,"natural","engl310_01_248"
"NAT_engl310_01_248","sil",3.978,4.165,0.187,10.29,54.507,"natural","engl310_01_248"
"NAT_engl310_01_248","sil",6.063,6.385,0.322,10.29,46.879,"natural","engl310_01_248"
"NAT_engl310_01_248","uh",6.385,6.55,0.165,10.29,81.833,"natural","engl310_01_248"
"NAT_engl310_01_248","sil",7.94,7.97,0.03,10.29,47.08,"natural","engl310_01_248"
"NAT_engl310_01_248","in",7.97,8.107,0.137,10.29,49.756,"natural","engl310_01_248"
"NAT_engl310_01_248","sil",8.107,8.151,0.044,10.29,46.032,"natural","engl310_01_248"
"NAT_engl310_01_248","o",8.151,8.223,0.072,10.29,63.279,"natural","engl310_01_248"
"NAT_engl310_01_248","uh",8.223,8.378,0.156,10.29,81.41,"natural","engl310_01_248"
"NAT_engl310_01_248","in",8.653,8.793,0.14,10.29,53.115,"natural","engl310_01_248"
"NAT_engl310_01_248","sil",8.793,8.902,0.11,10.29,48.366,"natural","engl310_01_248"
"NAT_engl310_01_248","sil",9.976,10.004,0.028,10.29,56.026,"natural","engl310_01_248"
"NAT_engl310_01_248","in",10.004,10.29,0.286,10.29,52.458,"natural","engl310_01_248"
"NAT_engl310_13_87","sil",0,0.003,0.003,4.94,40.703,"natural","engl310_13_87"
"NAT_engl310_13_87","in",0.003,0.172,0.169,4.94,45.809,"natural","engl310_13_87"
"NAT_engl310_13_87","sil",0.172,0.377,0.205,4.94,44.45,"natural","engl310_13_87"
"NAT_engl310_13_87","sil",1.646,1.842,0.196,4.94,50.126,"natural","engl310_13_87"
