file, segment, start, end, dur, filedur, mean_intensity
NAT_engl310_01_234,in,0,0.203,0.203,10.460,55.190,
NAT_engl310_01_234,sil,0.203,0.248,0.045,10.460,46.028,
NAT_engl310_01_234,np,0.248,0.535,0.287,10.460,87.381,
NAT_engl310_01_234,sil,0.535,0.583,0.048,10.460,58.094,
NAT_engl310_01_234,in,0.583,0.779,0.195,10.460,55.631,
NAT_engl310_01_234,o,0.779,0.887,0.108,10.460,55.357,
NAT_engl310_01_234,uh,0.887,1.144,0.257,10.460,85.581,
NAT_engl310_01_234,sil,1.144,1.174,0.030,10.460,55.538,
NAT_engl310_01_234,in,1.174,1.300,0.126,10.460,55.890,
NAT_engl310_01_234,sil,1.300,1.352,0.051,10.460,47.418,
NAT_engl310_01_234,np,1.352,2.525,1.174,10.460,83.123,
NAT_engl310_01_234,sil,2.525,2.705,0.180,10.460,47.848,
NAT_engl310_01_234,np,2.705,4.056,1.351,10.460,81.543,
NAT_engl310_01_234,sil,4.056,4.323,0.266,10.460,45.299,
NAT_engl310_01_234,np,4.323,4.973,0.651,10.460,84.717,
NAT_engl310_01_234,sil,4.973,5.034,0.061,10.460,54.362,
NAT_engl310_01_234,in,5.034,5.236,0.202,10.460,59.345,
NAT_engl310_01_234,sil,5.236,5.262,0.026,10.460,54.079,
NAT_engl310_01_234,np,5.262,7.112,1.850,10.460,82.693,
NAT_engl310_01_234,sil,7.112,7.183,0.071,10.460,44.742,
NAT_engl310_01_234,in,7.183,7.447,0.264,10.460,58.421,
NAT_engl310_01_234,sil,7.447,7.478,0.031,10.460,51.913,
NAT_engl310_01_234,np,7.478,10.219,2.741,10.460,82.166,
NAT_engl310_01_234,sil,10.219,10.229,0.010,10.460,55.108,
NAT_engl310_01_234,in,10.229,10.457,0.229,10.460,55.435,
NAT_engl310_01_234,sil,10.457,10.460,0.003,10.460,49.372,
NAT_engl310_01_236,cl,0,0.003,0.003,8.470,49.214,
NAT_engl310_01_236,in,0.003,0.455,0.452,8.470,59.044,
NAT_engl310_01_236,sil,0.455,0.519,0.065,8.470,48.003,
NAT_engl310_01_236,np,0.519,2.739,2.220,8.470,84.853,
NAT_engl310_01_236,sil,2.739,2.786,0.047,8.470,57.363,
NAT_engl310_01_236,in,2.786,2.978,0.193,8.470,54.560,
NAT_engl310_01_236,o,2.978,3.057,0.079,8.470,60.833,
