file,filename,start,end,dur,text,further remarks
engl310_01,engl310_01_01,0.43,6.38,5.95,"; tsk now ; uh , this is uh , not only , a course for english majors . , ;",
engl310_01,engl310_01_02,5.97,10.44,4.47,; uh but for other majors too ; the poets we’ll be reading ;,
engl310_01,engl310_01_03,10.07,15.45,5.38,; well they uh they knew about . science music politics economics ;,
engl310_01,engl310_01_04,15.15,22.48,7.33,"; and they presumed to talk about those things , ; uh in their poetry and out of their poetry too , tsk ;",
engl310_01,engl310_01_05,22.11,31.16,9.05,"; uh my lectures , tsk uh are going to presume no special ; knowledge uh on your part , tsk uh I uh ;",
engl310_01,engl310_01_06,30.66,37.49,6.83,; i see this as uh a course that’s an introduction to uh the literature of a period . tsk ;,
engl310_01,engl310_01_07,37.08,46.84,9.76,"; uh to modern poetry . ; uh the uh ; uh . , . we’ll be studying several poets in some detail ;",
engl310_01,engl310_01_08,46.42,51.72,5.3,; um tsk uh they uh presumption is well that they they all ;,
engl310_01,engl310_01_09,51.33,58.41,7.08,"; uh , reward an and demand a certain amount of of close reading , tsk uh ;",
engl310_01,engl310_01_10,57.97,65.44,7.47,"; at the same time i do mean to uh give you some , sense of the the period in which they're writing ;",
engl310_01,engl310_01_11,65.08,70.76,5.68,"; uh of , some sense of modernism , tsk as ; uh as a field ;",
engl310_01,engl310_01_12,70.3,80.41,10.11,"; um as as one of the richest fields in in english language , writing , tsk ; finally , though uh this really is a course in poetry ; ",
engl310_01,engl310_01_13,80.13,87.75,7.62,"; uh plain and simple , tsk i mean to uh ; introduce you to particular poems , ;",
engl310_01,engl310_01_14,87.36,97.64,10.28,; uh to give you ways to uh possess them ; uh enjoy them ; uh be uh puzzled or or frustrated by them too ;,
engl310_01,engl310_01_15,97.2,106.73,9.53,"; uh to , learn something from them ; uh an and to care about them tsk uh and to , carry them with you uh as you as you go forward ;",
engl310_01,engl310_01_16,106.4,110.74,4.34,"; uh , after this class , ; so ;",
engl310_01,engl310_01_17,110.4,118.65,8.25,"; uh that’s a sense of what , i want to uh accomplish in these lectures , tsk uh it will mean reading a lot of poems tsk ;",
engl310_01,engl310_01_18,118.27,126.62,8.35,"; uh and writing , about them some . , uh the syllabus , you’ll see notes the , general topic of each lecture ; ",
engl310_01,engl310_01_19,126.16,136.12,9.96,"; uh and the reading that i i want you to have done for that day , tsk ; uh there’s a midterm uh that will be a short answer test ;",
engl310_01,engl310_01_20,135.8,143.38,7.58,"; that’s uh intended to give you a chance to show how diligently you’ve been ; reading an and coming to class , ;",
engl310_01,engl310_01_21,142.88,150.58,7.7,"; uh the uh the final uh will include both a , a short answer component and then some essay ;",
engl310_01,engl310_01_22,150.21,157.81,7.6,"; questions , tsk there are two papers ,  ; uh , a shorter and a slightly longer one ",
engl310_01,engl310_01_23,158.84,165.87,7.03,"tsk uh the first paper is going to ask you to write about one , short poem ; uh the second will ask you to write about ;",
engl310_01,engl310_01_24,165.5,172.66,7.16,; uh two or more poems um or poems perhaps by two authors or ; perhaps a poem ;,
engl310_01,engl310_01_25,172.44,182.68,10.24,"; and some other kind of text or i image , tsk ; uh , the uh teaching fellows in this course i’m lucky to work with an and you too ;",
engl310_01,engl310_01_26,182.21,187.37,5.16," ; uh they uh are , trained and have have an interest in modern poetry ;",
